Power off Wii (as soon as it loads),0x00,
Return to Wii Menu (as soon as it loads),0x04,
0x05,,
"Empty menus. Likely used early in development to help create and test the menu system. The only leftover code is a reference to a deleted resource named ""Test"" in /Scene/UI and the screen 0x00, which is empty.",0x06,0x00
0x07,0x00,
0x08,0x00,
0x09,0x00,
0x0A,0x00,
0x0B,0x00,
0x0C,0x00,
0x0D,0x00,
0x0E,0x00,
0x0F,0x00,
Creating new save prompt (at boot),0x10,"0x03, 0x4F, 0x5D"
Corrupted save save prompt (at boot),0x11,"0x03, 0x4F, 0x53, 0x5D"
Country changed prompt (at boot),0x12,"0x03, 0x4F, 0x53, 0x5D"
Game cannot be saved error (at boot),0x13,"0x04, 0x53, 0x5D"
"Cannot access system memory error (at boot, softlock)",0x14,"0x05, 0x5D"
Cannot access Mii data error (at boot),0x15,"0x06, 0x5D"
ESRB Warning (at boot),0x16,0x01
Recommend 60Hz not 50Hz (at boot),0x17,0x02
0x18,0x02,
Pan at start of Grand Prix,0x19,0x07
Pan at start of VS Race,0x1A,0x08
Pan at start of Balloon Battle,0x1B,0x09
Pan at start of Mission Mode boss,0x1C,0x0A
Pan at start of Competition boss,0x1D,0x0B
Grand Prix Gameplay,0x1E,"0x0C, 0x17, 0x20, 0x2C, 0x2F, 0x30, 0x3A"
Time Trial Gameplay,0x1F,"0x0D, 0x19, 0x21, 0x29, 0x2B, 0x2D, 0x2E, 0x3A, 0xA7"
Single Player Versus Gameplay,0x20,"0x0E, 0x18, 0x22, 0x2F, 0x30, 0x3A"
Two Player Versus Gameplay,0x21,"0x0F, 0x18, 0x22, 0x2C, 0x2F, 0x30, 0x3A"
Three Player Versus Gameplay,0x22,"0x10, 0x18, 0x22, 0x2C, 0x2F, 0x30, 0x3A"
Four Player Versus Gameplay,0x23,"0x11, 0x18, 0x22, 0x2C, 0x2F, 0x30, 0x3A"
Single Player Team Versus Gameplay,0x24,"0x0E, 0x18, 0x22, 0x2F, 0x32, 0x3A"
Two Player Team Versus Gameplay,0x25,"0x0F, 0x18, 0x22, 0x2C, 0x2F, 0x32, 0x3A"
Three Player Team Versus Gameplay,0x26,"0x10, 0x18, 0x22, 0x2C, 0x2F, 0x32, 0x3A"
Four Player Team Versus Gameplay,0x27,"0x11, 0x18, 0x22, 0x2C, 0x2F, 0x32, 0x3A"
Single Player Battle Gameplay,0x28,"0x12, 0x1A, 0x23, 0x24, 0x33, 0x34, 0x3A"
Two Player Battle Gameplay,0x29,"0x13, 0x1A, 0x23, 0x24, 0x2C, 0x33, 0x34, 0x3A"
Three Player Battle Gameplay,0x2A,"0x14, 0x1A, 0x23, 0x24, 0x2C, 0x33, 0x34, 0x3A"
Four Player Battle Gameplay,0x2B,"0x15, 0x1A, 0x23, 0x24, 0x2C, 0x33, 0x34, 0x3A"
Mission Mode Gameplay,0x2C,"0x16, 0x1B, 0x25, 0x2C, 0x3A"
Competition/Tournament Gameplay,0x2D,"0x16, 0x1B, 0x26, 0x2A, 0x35, 0x3A"
Grand Prix Replay,0x2E,"0x2C, 0x36, 0x38, 0x3A"
Time Trial Replay,0x2F,"0x21, 0x2B, 0x37, 0x39, 0x3A, 0xA7"
Ghost Race Time Trial Gameplay (Unused?),0x30,"0x0D, 0x1C, 0x1D, 0x1E, 0x27, 0x28, 0x2C, 0x2D, 0x2E, 0x3A"
Ghost Race Time Trial Gameplay,0x31,"0x0D, 0x1C, 0x1D, 0x1E, 0x27, 0x28, 0x2C, 0x2D, 0x2E, 0x3A, 0x88"
Time Trial Watch Ghost (from Mario Kart Channel),0x32,"0x1F, 0x2C, 0x37, 0x3A, 0xA7"
Time Trial Watch Ghost (from downloaded Ghost Data list),0x33,"0x1F, 0x2C, 0x37, 0x3A, 0xA7"
Time Trial Watch Ghost (from Single Player Menu),0x34,"0x1F, 0x2C, 0x37, 0x3A, 0xA7"
Grand Prix Award Ceremony,0x35,"0x3B, 0x3C"
VS Award Ceremony,0x36,"0x3B, 0x3C"
Probably an award ceremony,0x37,"0x3B, 0x3C"
Probably an award ceremony,0x38,"0x3B, 0x3C"
Credits Part 1,0x39,0x3D
Credits Part 1 (true end),0x3A,0x3D
Credits Part 2,0x3B,"0x3D, 0x3E"
Credits Part 2 (true end),0x3C,"0x3D, 0x3E"
Congratulations prompt after beating Grand Prix mode,0x3D,"0x3F, 0x4F, 0x51, 0x53, 0x7F"
Congratulations prompt after fully beating Grand Prix mode,0x3E,"0x3F, 0x4F, 0x51, 0x53, 0x7F"
"Main Menu (from Demo, Credits or Boot)",0x3F,"0x4D, 0x52, 0x54, 0x55, 0x56, 0x57, 0x58, 0x59, 0x5A, 0x5E, 0x65"
Main Menu (from Reset),0x40,"0x4D, 0x52, 0x54, 0x55, 0x56, 0x57, 0x58, 0x59, 0x5A, 0x5E, 0x65"
Main Menu (from Game Menus),0x41,"0x4D, 0x52, 0x54, 0x55, 0x56, 0x57, 0x58, 0x59, 0x5A, 0x5E, 0x65"
Main Menu (from License Creation),0x42,"0x4D, 0x52, 0x54, 0x55, 0x56, 0x57, 0x58, 0x59, 0x5A, 0x5E, 0x65"
Main Menu (from somewhere to do with licenses),0x43,"0x4D, 0x52, 0x54, 0x55, 0x56, 0x57, 0x58, 0x59, 0x5A, 0x5E, 0x65"
Demo,0x44,"0x3A, 0x5F"
Mii Select,0x45,"0x51, 0x52, 0x5D, 0x5E, 0x60, 0x66"
Mii Select,0x46,"0x51, 0x52, 0x5D, 0x5E, 0x60, 0x66"
License Settings,0x47,"0x4E, 0x51, 0x52, 0x5D, 0x5E, 0x60, 0x66, 0x67, 0x68, 0xCE, 0xCF, 0xD0, 0xD1, 0xD2"
Single Player (coming from Main Menu),0x48,"0x4B, 0x4D, 0x4F, 0x51, 0x52, 0x53, 0x5C, 0x5E, 0x69, 0x6A, 0x6B, 0x6C, 0x6D, 0x6E, 0x6F, 0x70, 0x71, 0x72, 0x73, 0x74, 0x75, 0x76, 0x77, 0x78, 0x79, 0x7F, 0xA7"
Single Player (coming from Time Trial Change Character),0x49,"0x4B, 0x4D, 0x4F, 0x51, 0x52, 0x53, 0x5C, 0x5E, 0x69, 0x6A, 0x6B, 0x6C, 0x6D, 0x6E, 0x6F, 0x70, 0x71, 0x72, 0x73, 0x74, 0x75, 0x76, 0x77, 0x78, 0x79, 0x7F, 0xA7"
Single Player (coming from Time Trial Change Course),0x4A,"0x4B, 0x4D, 0x4F, 0x51, 0x52, 0x53, 0x5C, 0x5E, 0x69, 0x6A, 0x6B, 0x6C, 0x6D, 0x6E, 0x6F, 0x70, 0x71, 0x72, 0x73, 0x74, 0x75, 0x76, 0x77, 0x78, 0x79, 0x7F, 0xA7"
Single Player (from VS Race),0x4B,"0x4B, 0x4E, 0x51, 0x52, 0x53, 0x5C, 0x5E, 0x6E, 0x6F, 0x7F, 0xA7"
Single Player (from Battle),0x4C,"0x4B, 0x4E, 0x51, 0x52, 0x53, 0x5C, 0x5E, 0x78, 0x79, 0x7F, 0xA7"
"Single Player (coming from Mission Mode Change Mission, softlock)",0x4D,"0x4B, 0x4D, 0x4F, 0x51, 0x52, 0x53, 0x5C, 0x5E, 0x69, 0x6A, 0x6B, 0x6C, 0x6D, 0x6E, 0x6F, 0x70, 0x71, 0x72, 0x73, 0x74, 0x75, 0x76, 0x77, 0x78, 0x79, 0x7F, 0xA7"
Single Player (coming from Mario Kart Channel challenge ghost),0x4E,"0x4B, 0x4D, 0x5C, 0x5E, 0x6B, 0x6C, 0x6D, 0x7F, 0xA7"
Single Player (coming from leaderboard challenge ghost),0x4F,"0x4B, 0x4D, 0x5C, 0x5E, 0x6B, 0x6C, 0x6D, 0x7F, 0xA7"
Single Player (coming from ghost data list challenge ghost),0x50,"0x4B, 0x4D, 0x5C, 0x5E, 0x6B, 0x6C, 0x6D, 0x7F, 0xA7"
Send Winning Ghost Data to friend (coming from Time Trial),0x51,"0x4F, 0x51, 0x5C, 0x5E, 0xA7, 0xB6"
Challenge Ghost Data (from Wii Menu Channel),0x52,"0x4F, 0x5C, 0x5E, 0xA7, 0xB1, 0xB2"
Watch Replay (from Wii Menu Channel),0x53,"0x4F, 0x5C, 0x5E, 0xA7, 0xB1, 0xB2"
Local Multiplayer,0x54,"0x4B, 0x4C, 0x4D, 0x52, 0x5C, 0x5E, 0x60, 0x61, 0x62, 0x63, 0x64, 0x6B, 0x6E, 0x6F, 0x72, 0x73, 0x74, 0x75, 0x77, 0x78, 0x79, 0x7F, 0x80, 0x81, 0x82, 0x83"
