"Empty, it seems",0x00
ESRB notice,0x01
60Hz suggestion,0x02
Data corrupt,0x03
Can't save,0x04
System memory corrupt,0x05
Mii Data corrupt,0x06
Grand Prix Pan Overlay,0x07
VS Pan Overlay,0x08
Battle Pan Overlay,0x09
Mission Pan Overlay,0x0A
Tournament Pan Overlay,0x0B
Grand Prix Interface,0x0C
Time Trial Interface,0x0D
1P VS Race Interface,0x0E
2P VS Race Interface,0x0F
3P VS Race Interface,0x10
4P VS Race Interface,0x11
1P Battle Interface,0x12
2P Battle Interface,0x13
3P Battle Interface,0x14
4P Battle Interface,0x15
Mission and Tournament Interface,0x16
Grand Prix Pause Menu,0x17
VS Race Pause Menu,0x18
Time Trial Pause Menu,0x19
Battle Pause Menu,0x1A
Tournament Pause Menu,0x1B
Ghost Race Pause Menu,0x1C
Abandon Ghost Race?,0x1D
Quit Ghost Race?,0x1E
Ghost Replay Pause Menu,0x1F
"Grand Prix End Screen (Next Race, Watch Replay, Quit)",0x20
"Time Trial End Screen (Retry, Change Course, etc.)",0x21
"VS Race End Screen (Next Race, Quit)",0x22
"Battle End Screen (Next Battle, Quit)",0x23
"Battle End Screen (Next only, to final results)",0x24
"Mission End Screen (Retry, Choose Mission, Quit. Unused)",0x25
Tournament End Screen,0x26
Ghost Race End Screen (Next/Quit),0x27
Go to Friend Roster?,0x28
You beat your friend's record! Send your ghost?,0x29
Send tourney record,0x2A
Check rankings?,0x2B
Are you sure you want to quit?,0x2C
Splits after TT,0x2D
Leaderboard after TT,0x2E
GP/VS score update screen,0x2F
GP/VS score overall screen,0x30
Online race point update screen,0x31
Team VS point overall screen,0x32
Battle point update screen,0x33
Battle point overall screen,0x34
Competition personal leaderboard,0x35
Grand Prix replay interface,0x36
Ghost Race interface,0x37
Grand Prix replay pause,0x38
TT Immediate Replay pause,0x39
"Supporting panel (Present in many modes in-race, 2nd element)",0x3A
Probably award interface (untested),0x3B
Probably congrats screen (untested),0x3C
Credits VS interface (untested),0x3D
Credits latter interface (untested),0x3E
Congrats after credits,0x3F
Wi-Fi Race Interface,0x40
2P Wi-Fi Race Interface,0x41
Wi-Fi Friend Room Race Interface,0x42
Wi-Fi Friend Room Team Race Interface,0x43
Congratuations! at end of friend room (untested),0x44
Dummy? Seems to immediately load 0x46,0x45
"Online Race End (Next Race, Quit, Friend Roster)",0x46
Quit online race?,0x47
"End of online race ""Please wait"" text",0x48
Live VS view interface,0x49
Live Battle view interface (untested),0x4A
Start game okay?,0x4B
Text box with spinner,0x4C
Drift Explanation Message Box,0x4D
Vote/Random Message Box,0x4E
Reading ghost data/screen with text + spinner,0x4F
Connecting to Nintendo WFC...,0x50
"Generic text box, full screen, press A",0x51
Text box with one prompt (Multiple uses),0x52
Post photo to Wii Message Board?,0x53
Behind main menu?,0x54
Dummy? Maybe not low battery. Goes to 5A?,0x55
Low battery notification,0x56
Title Screen,0x57
Behind main menu?,0x58
Opening Movie,0x59
Main Menu,0x5A
Behind unlocks?,0x5B
Flag background,0x5C
Behind Disconnects/Options,0x5D
Top menu overlay,0x5E
Blinking press A,0x5F
Select Mii,0x60
Active controller display,0x61
Player controller opt in,0x62
Pair Wii Remotes,0x63
Player controller opt in complete (OK/Change),0x64
License Select,0x65
Mii Changed,0x66
License Settings,0x67
Erase License,0x68
Single Player Menu,0x69
Grand Prix Class Select,0x6A
Character Select,0x6B
Vehicle Select,0x6C
Drift Select,0x6D
Cup Select,0x6E
Course Select (sub screen),0x6F
Select Ghost,0x70
Select Ghost,0x71
Select Solo/Team VS,0x72
Select Race Rules,0x73
Teams Overview,0x74
Select Battle Mode,0x75
Select Vehicle (Battle),0x76
Select Battle Rules,0x77
Select Battle Cup,0x78
Select Battle Course,0x79
Mission Level Select (Unused),0x7A
Mission Select (sub screen),0x7B
Mission Information Prompt,0x7C
Drift Select with one option,0x7D
Mission Tutorial,0x7E
Present on single player menus,0x7F
Multiplayer Menu (VS/BT),0x80
Multiplayer Vehicle Select,0x81
